knows	word	id	lfpm10r	log_rt
TRUE	ború	KT223	-0.485	-0.04905369877928709
FALSE	truccol	KT363	-2.694	0.2130932153101917
TRUE	hajlik	KT375	0.575	-0.3266446856781535
FALSE	adszorbens	KT385	-1.303	0.6974429405082446
TRUE	irány	KT164	1.373	-0.42767237429457355
TRUE	transzplantál	MMIID7	-3.092	0.8802074917406228
TRUE	konverzál	KT195	-2.967	-0.395861371943885
TRUE	ingváll	KT229	-1.276	1.2471184969493512
TRUE	örmény	KT278	0.795	-0.09702314615154176
TRUE	igény	KT374	1.885	-0.5204215174370556
TRUE	kárpit	ZCRF7X	0.194	-0.32844156892504167
TRUE	szilikát	KT398	-0.363	-0.05435059485075586
FALSE	kvéker	KT260	-1.672	-0.26716728050176275
FALSE	kurzivál	KT375	-3.092	0.45538796389961295
FALSE	rücsök	MMIID11	-1.879	0.7153977894947728
TRUE	turné	7426	0.819	-0.25430532513439225
FALSE	magmatit	KA132	-2.666	-0.21721118240909498
TRUE	kislány	KT226	1.415	-0.4324458363395905
FALSE	koenzim	W6AC09	0.003	-0.38801819449806013
TRUE	ellenfél	KA100	1.362	-0.6091737465974337
FALSE	orront	MMIIE12	-2.057	0.33968136756217054
TRUE	kötődik	KT174	1.137	0.08911374877412755
TRUE	profit	KT226	0.862	-0.6630739474514286
TRUE	forrpont	KT243	-1.542	0.05154826188286533
FALSE	döföl	KT373	-2.724	0.6922667931330411
TRUE	keresztény	KT249	1.817	-0.1275152403009653
TRUE	viszkózus	KT220	-0.482	0.34563371326919884
TRUE	turné	KA109	0.819	-0.11749495226166637
TRUE	csontdarab	KT127	-1.165	0.352296371948507
TRUE	farkasbab	KT156	-2.154	0.22579603030070486
TRUE	elegy	KT345	-1.266	0.037016362227113776
TRUE	törődik	KT334	0.7	-0.18698039228985364
TRUE	sugár	KT252	0.422	-0.12705526524276364
FALSE	fertilis	KT213	-1.185	-0.4316756222603022
FALSE	glosszáz	KT223	-3.569	1.039506096788645
TRUE	reagál	7427	1.189	-0.1438703704197187
FALSE	bizmut	KT372	-0.988	-0.15751382891039528
TRUE	gyülemlik	7416	-1.145	-0.16870271562740824
TRUE	százalék	UVH3U2	1.899	-0.5395680926316961
TRUE	kárpit	KT221	0.194	-0.32711614169024505
TRUE	mellényzseb	KT155	-1.973	0.9097373049990317
TRUE	bajuszfű	KT127	-2.967	1.0354576982941757
