Name	NOC	City	Year	Sport	Event	Medal
Juhamatti Tapio Aaltonen	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Kjetil Andr Aamodt	NOR	Albertville	1992	Alpine Skiing	Alpine Skiing Men's Super G	Gold
Kjetil Andr Aamodt	NOR	Albertville	1992	Alpine Skiing	Alpine Skiing Men's Giant Slalom	Bronze
Kjetil Andr Aamodt	NOR	Lillehammer	1994	Alpine Skiing	Alpine Skiing Men's Downhill	Silver
Kjetil Andr Aamodt	NOR	Lillehammer	1994	Alpine Skiing	Alpine Skiing Men's Super G	Bronze
Kjetil Andr Aamodt	NOR	Lillehammer	1994	Alpine Skiing	Alpine Skiing Men's Combined	Silver
Kjetil Andr Aamodt	NOR	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Men's Super G	Gold
Kjetil Andr Aamodt	NOR	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Men's Combined	Gold
Kjetil Andr Aamodt	NOR	Torino	2006	Alpine Skiing	Alpine Skiing Men's Super G	Gold
Roald Edgar Aas	NOR	Oslo	1952	Speed Skating	Speed Skating Men's 1,500 metres	Bronze
Roald Edgar Aas	NOR	Squaw Valley	1960	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Jeremy Abbott	USA	Sochi	2014	Figure Skating	Figure Skating Mixed Team	Bronze
Masashi Abe	JPN	Lillehammer	1994	Nordic Combined	Nordic Combined Men's Team	Gold
Clarence John Abel	USA	Chamonix	1924	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
George Gordon Abel	CAN	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Karl Gustaf Emanuel Abrahamsson	SWE	Sankt Moritz	1928	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Yekaterina Konstantinovna Abramova	RUS	Torino	2006	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Bronze
Paul Accola	SUI	Calgary	1988	Alpine Skiing	Alpine Skiing Men's Combined	Bronze
Rita Nikolayevna Achkina	URS	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Bronze
Ronny Ackermann	GER	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Team	Silver
Ronny Ackermann	GER	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Sprint	Silver
Ronny Ackermann	GER	Torino	2006	Nordic Combined	Nordic Combined Men's Team	Silver
Donat Acklin	SUI	Albertville	1992	Bobsleigh	Bobsleigh Men's Two	Gold
Donat Acklin	SUI	Albertville	1992	Bobsleigh	Bobsleigh Men's Four	Bronze
Donat Acklin	SUI	Lillehammer	1994	Bobsleigh	Bobsleigh Men's Two	Gold
Donat Acklin	SUI	Lillehammer	1994	Bobsleigh	Bobsleigh Men's Four	Silver
Guido Acklin	SUI	Lillehammer	1994	Bobsleigh	Bobsleigh Men's Two	Silver
Michael B. ""Mike"" Adam	CAN	Torino	2006	Curling	Curling Men's Curling	Gold
Victoria ""Vicki"" Adams	GBR	Sochi	2014	Curling	Curling Women's Curling	Bronze
Richard ""Richy""  Adjei	GER	Vancouver	2010	Bobsleigh	Bobsleigh Men's Two	Silver
Maksim Sergeyevich Afinogenov	RUS	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Meghan Christina Agosta (-Marciano)	CAN	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Meghan Christina Agosta (-Marciano)	CAN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Meghan Christina Agosta (-Marciano)	CAN	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Benjamin Alexandro ""Ben"" Agosto	USA	Torino	2006	Figure Skating	Figure Skating Mixed Ice Dancing	Silver
Kevin Joseph Ahearn	USA	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Mats Bertil hlberg	SWE	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Annica Gunilla hln	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Johan Petter hln (Andersson-)	SWE	Chamonix	1924	Curling	Curling Men's Curling	Silver
