part_num,state_anxiety,trait_anxiety
1,75,62
2,54,72
3,68,59
4,82,69
6,59,60
7,65,56
8,64,53
9,66,63
10,69,78
12,66,
13,62,58
15,66,54
16,67,51
17,52,63
18,59,63
19,63,60
20,52,74
21,58,61
22,73,63
23,76,48
24,51,56
25,56,85
26,92,56
27,60,73
28,83,60
29,72,85
30,74,72
31,80,80
32,64,69
33,54,66
34,68,65
35,63,66
36,80,59
37,64,45
38,38,64
39,70,44
40,68,58
41,59,62
42,81,69
43,61,68
45,61,68
46,57,73
47,66,69
48,65,74
49,59,62
50,,70
52,57,80
53,62,65
54,68,55
55,60,76
56,78,83
57,57,
58,53,71
59,69,89
60,64,79
61,46,66
62,89,58
65,76,78
66,42,83
67,61,67
68,63,69
69,55,58
70,49,83
71,55,74
72,70,69
73,60,87
74,52,70
75,73,55
76,59,64
77,62,65
78,62,70
79,70,78
80,46,59
81,82,61
83,43,70
84,83,72
85,69,83
86,60,76
87,80,65
88,64,50
89,59,73
90,44,60
92,71,65
93,88,71
94,72,79
95,53,79
96,,76
98,74,40
99,69,44
100,60,81
