ID,condition,rt
1,predictable,432.8239296
1,predictable,531.0887777
1,predictable,540.0437332
1,predictable,430.5553794
1,predictable,464.2821571
1,predictable,483.7969474
1,predictable,534.5321498
1,predictable,512.5273951
1,predictable,550.3676135
1,predictable,528.6617342
1,predictable,454.2094741
1,predictable,565.5548724
1,predictable,549.4363157
1,predictable,582.6964343
1,predictable,427.9597383
1,predictable,597.3678217
1,predictable,586.8468088
1,predictable,519.3741663
1,predictable,614.0016986
1,predictable,576.8941656
1,predictable,476.2698096
1,predictable,414.1345599
1,predictable,428.6584845
1,predictable,510.411796
1,predictable,498.2081911
1,unpredictable,556.7142282
1,unpredictable,476.8572515
1,unpredictable,483.5807985
1,unpredictable,574.2269738
1,unpredictable,445.5311048
1,unpredictable,473.5602893
1,unpredictable,470.3103573
1,unpredictable,400.0542174
1,unpredictable,514.8076564
1,unpredictable,508.5312626
1,unpredictable,590.782616
1,unpredictable,466.9698448
1,unpredictable,492.9874029
1,unpredictable,478.8010446
1,unpredictable,498.0632113
1,unpredictable,498.552904
1,unpredictable,519.6518688
1,unpredictable,487.519304
1,unpredictable,504.1725107
1,unpredictable,603.9437307
1,unpredictable,506.0425901
1,unpredictable,505.907472
1,unpredictable,538.5027109
1,unpredictable,441.2298799
1,unpredictable,520.451928
2,predictable,466.7524583
2,predictable,487.1737618
2,predictable,533.9391074
2,predictable,544.842232
2,predictable,530.9178216
2,predictable,536.5726873
2,predictable,479.3412713
2,predictable,577.8906565
2,predictable,527.0849409
2,predictable,528.8575233
2,predictable,387.2645214
2,predictable,450.8969969
2,predictable,489.9716006
2,predictable,544.7965096
2,predictable,497.8227546
2,predictable,582.3653974
2,predictable,578.1649713
2,predictable,428.4310827
2,predictable,472.7702899
2,predictable,461.4373238
2,predictable,491.5006003
2,predictable,497.9619052
2,predictable,413.9729864
2,predictable,572.2053128
2,predictable,498.9992669
2,unpredictable,513.5116038
2,unpredictable,494.3533074
2,unpredictable,457.2556097
2,unpredictable,448.3129455
2,unpredictable,511.1013312
2,unpredictable,446.0259016
2,unpredictable,477.9313051
2,unpredictable,601.0317394
2,unpredictable,503.6428244
2,unpredictable,535.4408654
2,unpredictable,542.5254702
2,unpredictable,425.6901435
2,unpredictable,546.02649
2,unpredictable,507.4164401
2,unpredictable,488.1566102
2,unpredictable,476.3381904
2,unpredictable,466.5396948
2,unpredictable,567.9263343
2,unpredictable,570.6459009
2,unpredictable,463.3613116
2,unpredictable,495.9724042
2,unpredictable,540.5098411
2,unpredictable,525.1293766
2,unpredictable,556.201132
2,unpredictable,491.4360105
3,predictable,505.9075667
3,predictable,543.4951312
3,predictable,495.4031897
3,predictable,503.4449394
3,predictable,415.8786623
3,predictable,555.8477773
3,predictable,432.4321213
3,predictable,473.1416741
3,predictable,481.4943195
3,predictable,517.7006112
3,predictable,459.5087358
3,predictable,491.0137686
3,predictable,442.6170177
3,predictable,504.8121192
3,predictable,540.7350052
3,predictable,549.1470368
3,predictable,542.5421741
3,predictable,560.3673724
3,predictable,428.3110826
3,predictable,444.952716
3,predictable,486.1478891
3,predictable,467.9318365
3,predictable,542.8437389
3,predictable,515.6921727
3,predictable,561.1231039
3,unpredictable,443.6836233
3,unpredictable,511.8148706
3,unpredictable,436.3815222
3,unpredictable,515.7841343
3,unpredictable,517.7805192
3,unpredictable,500.2026069
3,unpredictable,557.4597243
3,unpredictable,475.1692833
3,unpredictable,462.660174
3,unpredictable,435.8616382
3,unpredictable,448.4114164
3,unpredictable,396.3976648
3,unpredictable,478.6966419
3,unpredictable,461.1512184
3,unpredictable,490.9093901
3,unpredictable,456.8846304
3,unpredictable,490.8729039
3,unpredictable,568.5347738
3,unpredictable,567.1359478
3,unpredictable,442.411897
3,unpredictable,537.4382329
3,unpredictable,576.1073978
3,unpredictable,427.3490063
3,unpredictable,560.5378969
3,unpredictable,454.5327175
4,predictable,560.0205086
4,predictable,491.7291886
4,predictable,475.2896741
4,predictable,421.771529
4,predictable,482.2816107
4,predictable,448.9017602
4,predictable,559.5902779
4,predictable,511.4657111
4,predictable,436.3710459
4,predictable,534.593611
4,predictable,498.5622622
4,predictable,444.8083956
4,predictable,448.2362618
4,predictable,506.9976312
4,predictable,534.1364328
4,predictable,443.2220336
4,predictable,588.6272438
4,predictable,495.3036849
4,predictable,383.9405923
4,predictable,507.5519682
4,predictable,465.4426369
4,predictable,541.5214423
4,predictable,559.6299234
4,predictable,515.4955331
4,predictable,422.5307822
4,unpredictable,483.5119432
4,unpredictable,429.3869819
4,unpredictable,450.0119766
4,unpredictable,384.4630594
4,unpredictable,546.9309389
4,unpredictable,430.5905754
4,unpredictable,469.4156692
4,unpredictable,515.9247386
4,unpredictable,488.2297108
4,unpredictable,553.7526023
4,unpredictable,494.9602196
4,unpredictable,553.5076311
4,unpredictable,551.7919445
4,unpredictable,484.9013595
4,unpredictable,549.8246949
4,unpredictable,465.13815
4,unpredictable,545.6449175
4,unpredictable,561.6154489
4,unpredictable,536.5603294
4,unpredictable,476.806937
4,unpredictable,562.1966946
4,unpredictable,490.1943695
4,unpredictable,446.8582957
4,unpredictable,513.5039208
4,unpredictable,476.0499474
5,predictable,514.6943107
5,predictable,552.6201112
5,predictable,499.67822
5,predictable,479.7738264
5,predictable,495.9541477
5,predictable,446.3787854
5,predictable,471.6156074
5,predictable,506.469132
5,predictable,504.7231474
5,predictable,532.9189002
5,predictable,559.4555916
5,predictable,533.0930268
5,predictable,534.936058
5,predictable,472.4575446
5,predictable,500.239619
5,predictable,568.9430544
5,predictable,547.3026777
5,predictable,523.197604
5,predictable,506.1422075
5,predictable,541.6363878
5,predictable,413.3845738
5,predictable,569.8015149
5,predictable,478.6742693
5,predictable,453.4984797
5,predictable,474.1817341
5,unpredictable,530.0139049
5,unpredictable,526.571003
5,unpredictable,425.5206258
5,unpredictable,567.832428
5,unpredictable,533.4982023
5,unpredictable,582.8879335
5,unpredictable,466.0040802
5,unpredictable,544.4380747
5,unpredictable,504.0945476
5,unpredictable,491.2054794
5,unpredictable,532.8864123
5,unpredictable,462.0981723
5,unpredictable,530.973358
5,unpredictable,603.024579
5,unpredictable,442.6285419
5,unpredictable,592.5204266
5,unpredictable,457.2680368
5,unpredictable,447.1042834
5,unpredictable,538.707257
5,unpredictable,457.3378523
5,unpredictable,408.1778325
5,unpredictable,550.3145867
5,unpredictable,521.0051251
5,unpredictable,448.7995903
5,unpredictable,534.4253116
6,predictable,487.5043248
6,predictable,503.5652991
